SKU,DateKey,CustomerKey,ShippingKey,SupplierKey,InspectionKey,ProductsSold,RevenueGenerated,StockLevels,OrderQuantities,LeadTimes,ShippingTimes,ShippingCosts,ManufacturingLeadtime,ManufacturingCosts,DefectRates,ProductionVolumes,Costs,TransactionDate,PlannedShipDate,ActualShipDate,DeliveryStatus,UnitSalesPrice,UnitCOGS,UnfulfilledQty,StockoutFlag ,StockoutRate_PCT,StockoutRiskLevel,ForecastedSales,ActualSales,ForecastAccuracy
SKU0,790,1,1,1,1,24,259.21,33,24,7,4,2.96,29,46.28,0.23,215,187.75,3/1/2023 0:00,3/28/2023 0:00,3/2/2023 0:00,Early,11.51,8.26,0,0,0.00,No Risk,24,24,1.00
SKU0,821,1,1,1,1,18,194.41,57,53,7,4,2.96,29,46.28,0.23,215,187.75,4/1/2023 0:00,4/28/2023 0:00,4/2/2023 0:00,Early,11.51,9.28,0,0,0.00,No Risk,53,18,0.34
SKU0,851,1,1,1,1,26,280.81,110,95,7,4,2.96,29,46.28,0.23,215,187.75,5/1/2023 0:00,5/28/2023 0:00,5/2/2023 0:00,Early,11.51,6.63,0,0,0.00,No Risk,95,26,0.27
SKU0,882,1,1,1,1,18,194.41,95,18,7,4,2.96,29,46.28,0.23,215,187.75,6/1/2023 0:00,6/28/2023 0:00,6/2/2023 0:00,Early,11.51,28.71,0,0,0.00,No Risk,18,18,1.00
SKU0,912,1,1,1,1,17,183.61,59,43,7,4,2.96,29,46.28,0.23,215,187.75,7/1/2023 0:00,7/28/2023 0:00,7/2/2023 0:00,Early,11.51,13.7,0,0,0.00,No Risk,43,17,0.40
SKU0,943,1,1,1,1,23,248.41,139,82,7,4,2.96,29,46.28,0.23,215,187.75,8/1/2023 0:00,8/28/2023 0:00,8/2/2023 0:00,Early,11.51,7.54,0,0,0.00,No Risk,82,23,0.28
SKU0,974,1,1,1,1,26,280.81,31,24,7,4,2.96,29,46.28,0.23,215,187.75,9/1/2023 0:00,9/28/2023 0:00,9/2/2023 0:00,Early,11.51,6.15,0,0,0.00,No Risk,24,26,0.92
SKU0,1004,1,1,1,1,14,151.21,131,71,7,4,2.96,29,46.28,0.23,215,187.75,10/1/2023 0:00,10/28/2023 0:00,10/2/2023 0:00,Early,11.51,40.19,0,0,0.00,No Risk,71,14,0.20
SKU0,1035,1,1,1,1,24,259.21,105,54,7,4,2.96,29,46.28,0.23,215,187.75,11/1/2023 0:00,11/28/2023 0:00,11/2/2023 0:00,Early,11.51,8.15,0,0,0.00,No Risk,54,24,0.44
SKU0,1065,1,1,1,1,24,259.21,32,93,7,4,2.96,29,46.28,0.23,215,187.75,12/1/2023 0:00,12/28/2023 0:00,12/2/2023 0:00,Early,11.51,6.77,61,1,65.59,High,93,24,0.26
SKU0,1096,1,1,1,1,20,216.01,42,81,7,4,2.96,29,46.28,0.23,215,187.75,1/1/2024 0:00,1/28/2024 0:00,1/2/2024 0:00,Early,11.51,8.74,39,1,48.15,Medium,81,20,0.25
SKU0,1127,1,1,1,1,17,183.61,111,67,7,4,2.96,29,46.28,0.23,215,187.75,2/1/2024 0:00,2/28/2024 0:00,2/2/2024 0:00,Early,11.51,7.83,0,0,0.00,No Risk,67,17,0.25
SKU0,1156,1,1,1,1,27,291.61,106,28,7,4,2.96,29,46.28,0.23,215,187.75,3/1/2024 0:00,3/28/2024 0:00,3/2/2024 0:00,Early,11.51,15.87,0,0,0.00,No Risk,28,27,0.96
SKU0,1187,1,1,1,1,19,205.21,8,25,7,4,2.96,29,46.28,0.23,215,187.75,4/1/2024 0:00,4/28/2024 0:00,4/2/2024 0:00,Early,11.51,12.83,17,1,68.00,High,25,19,0.76
SKU0,1217,1,1,1,1,16,172.81,113,84,7,4,2.96,29,46.28,0.23,215,187.75,5/1/2024 0:00,5/28/2024 0:00,5/2/2024 0:00,Early,11.51,19.45,0,0,0.00,No Risk,84,16,0.19
SKU0,1248,1,1,1,1,17,183.61,124,17,7,4,2.96,29,46.28,0.23,215,187.75,6/1/2024 0:00,6/28/2024 0:00,6/2/2024 0:00,Early,11.51,35.46,0,0,0.00,No Risk,17,17,1.00
SKU0,1278,1,1,1,1,28,302.41,19,42,7,4,2.96,29,46.28,0.23,215,187.75,7/1/2024 0:00,7/28/2024 0:00,7/2/2024 0:00,Early,11.51,8.37,23,1,54.76,High,42,28,0.67
SKU0,1309,1,1,1,1,24,259.21,40,83,7,4,2.96,29,46.28,0.23,215,187.75,8/1/2024 0:00,8/28/2024 0:00,8/2/2024 0:00,Early,11.51,27.4,43,1,51.81,High,83,24,0.29
SKU0,1340,1,1,1,1,27,291.61,43,27,7,4,2.96,29,46.28,0.23,215,187.75,9/1/2024 0:00,9/28/2024 0:00,9/2/2024 0:00,Early,11.51,16.75,0,0,0.00,No Risk,27,27,1.00
SKU0,1370,1,1,1,1,17,183.61,124,44,7,4,2.96,29,46.28,0.23,215,187.75,10/1/2024 0:00,10/28/2024 0:00,10/2/2024 0:00,Early,11.51,22.33,0,0,0.00,No Risk,44,17,0.39
SKU0,1401,1,1,1,1,16,172.81,34,52,7,4,2.96,29,46.28,0.23,215,187.75,11/1/2024 0:00,11/28/2024 0:00,11/2/2024 0:00,Early,11.51,22.33,18,1,34.62,Medium,52,16,0.31
SKU0,1431,1,1,1,1,19,205.21,57,59,7,4,2.96,29,46.28,0.23,215,187.75,12/1/2024 0:00,12/28/2024 0:00,12/2/2024 0:00,Early,11.51,7.01,2,1,3.39,Low,59,19,0.32
SKU0,1462,1,1,1,1,14,151.21,47,12,7,4,2.96,29,46.28,0.23,215,187.75,1/1/2025 0:00,1/28/2025 0:00,1/2/2025 0:00,Early,11.51,6.35,0,0,0.00,No Risk,12,14,0.83
SKU0,1493,1,1,1,1,29,313.21,57,68,7,4,2.96,29,46.28,0.23,215,187.75,2/1/2025 0:00,2/28/2025 0:00,2/2/2025 0:00,Early,11.51,8.49,11,1,16.18,Low,68,29,0.43
SKU0,1521,1,1,1,1,20,216.01,100,37,7,4,2.96,29,46.28,0.23,215,187.75,3/1/2025 0:00,3/28/2025 0:00,3/2/2025 0:00,Early,11.51,26.21,0,0,0.00,No Risk,37,20,0.54
SKU1,1,2,2,2,1,32,324.39,56,55,30,2,9.72,30,33.62,4.85,517,503.07,1/1/2021 0:00,1/13/2021 0:00,1/2/2021 0:00,Early,39.84,9.5,0,0,0.00,No Risk,55,32,0.58
SKU1,32,2,2,2,1,20,202.74,63,73,30,2,9.72,30,33.62,4.85,517,503.07,2/1/2021 0:00,2/13/2021 0:00,2/2/2021 0:00,Early,39.84,20.68,10,1,13.70,Low,73,20,0.27
SKU1,60,2,2,2,1,17,172.33,61,79,30,2,9.72,30,33.62,4.85,517,503.07,3/1/2021 0:00,3/13/2021 0:00,3/2/2021 0:00,Early,39.84,4.24,18,1,22.78,Low,79,17,0.22
SKU1,91,2,2,2,1,21,212.88,82,56,30,2,9.72,30,33.62,4.85,517,503.07,4/1/2021 0:00,4/13/2021 0:00,4/2/2021 0:00,Early,39.84,3.59,0,0,0.00,No Risk,56,21,0.38
SKU1,121,2,2,2,1,10,101.37,112,23,30,2,9.72,30,33.62,4.85,517,503.07,5/1/2021 0:00,5/13/2021 0:00,5/2/2021 0:00,Early,39.84,6.28,0,0,0.00,No Risk,23,10,0.43
SKU1,152,2,2,2,1,27,273.7,111,16,30,2,9.72,30,33.62,4.85,517,503.07,6/1/2021 0:00,6/13/2021 0:00,6/2/2021 0:00,Early,39.84,7.81,0,0,0.00,No Risk,16,27,0.31
SKU1,182,2,2,2,1,14,141.92,61,83,30,2,9.72,30,33.62,4.85,517,503.07,7/1/2021 0:00,7/13/2021 0:00,7/2/2021 0:00,Early,39.84,5.96,22,1,26.51,Medium,83,14,0.17
SKU1,213,2,2,2,1,22,223.02,93,88,30,2,9.72,30,33.62,4.85,517,503.07,8/1/2021 0:00,8/13/2021 0:00,8/2/2021 0:00,Early,39.84,19.53,0,0,0.00,No Risk,88,22,0.25
SKU1,244,2,2,2,1,16,162.19,84,40,30,2,9.72,30,33.62,4.85,517,503.07,9/1/2021 0:00,9/13/2021 0:00,9/2/2021 0:00,Early,39.84,5.09,0,0,0.00,No Risk,40,16,0.40
SKU1,274,2,2,2,1,18,182.47,25,90,30,2,9.72,30,33.62,4.85,517,503.07,10/1/2021 0:00,10/13/2021 0:00,10/2/2021 0:00,Early,39.84,4.34,65,1,72.22,High,90,18,0.20
SKU1,305,2,2,2,1,22,223.02,120,60,30,2,9.72,30,33.62,4.85,517,503.07,11/1/2021 0:00,11/13/2021 0:00,11/2/2021 0:00,Early,39.84,4.63,0,0,0.00,No Risk,60,22,0.37
SKU1,335,2,2,2,1,13,131.78,49,38,30,2,9.72,30,33.62,4.85,517,503.07,12/1/2021 0:00,12/13/2021 0:00,12/2/2021 0:00,Early,39.84,5.67,0,0,0.00,No Risk,38,13,0.34
SKU1,366,2,2,2,1,17,172.33,114,24,30,2,9.72,30,33.62,4.85,517,503.07,1/1/2022 0:00,1/13/2022 0:00,1/2/2022 0:00,Early,39.84,3.86,0,0,0.00,No Risk,24,17,0.71
SKU1,397,2,2,2,1,22,223.02,35,99,30,2,9.72,30,33.62,4.85,517,503.07,2/1/2022 0:00,2/13/2022 0:00,2/2/2022 0:00,Early,39.84,13.52,64,1,64.65,High,99,22,0.22
SKU1,425,2,2,2,1,20,202.74,32,85,30,2,9.72,30,33.62,4.85,517,503.07,3/1/2022 0:00,3/13/2022 0:00,3/2/2022 0:00,Early,39.84,5.67,53,1,62.35,High,85,20,0.24
SKU1,456,2,2,2,1,22,223.02,122,34,30,2,9.72,30,33.62,4.85,517,503.07,4/1/2022 0:00,4/13/2022 0:00,4/2/2022 0:00,Early,39.84,9.5,0,0,0.00,No Risk,34,22,0.65
SKU1,486,2,2,2,1,23,233.15,99,70,30,2,9.72,30,33.62,4.85,517,503.07,5/1/2022 0:00,5/13/2022 0:00,5/2/2022 0:00,Early,39.84,4.88,0,0,0.00,No Risk,70,23,0.33
SKU1,517,2,2,2,1,29,293.98,67,50,30,2,9.72,30,33.62,4.85,517,503.07,6/1/2022 0:00,6/13/2022 0:00,6/2/2022 0:00,Early,39.84,14.65,0,0,0.00,No Risk,50,29,0.58
SKU1,547,2,2,2,1,18,182.47,72,78,30,2,9.72,30,33.62,4.85,517,503.07,7/1/2022 0:00,7/13/2022 0:00,7/2/2022 0:00,Early,39.84,12.55,6,1,7.69,Low,78,18,0.23
SKU1,578,2,2,2,1,17,172.33,135,13,30,2,9.72,30,33.62,4.85,517,503.07,8/1/2022 0:00,8/13/2022 0:00,8/2/2022 0:00,Early,39.84,3.7,0,0,0.00,No Risk,13,17,0.69
SKU1,609,2,2,2,1,25,253.43,22,66,30,2,9.72,30,33.62,4.85,517,503.07,9/1/2022 0:00,9/13/2022 0:00,9/2/2022 0:00,Early,39.84,4.45,44,1,66.67,High,66,25,0.38
SKU1,639,2,2,2,1,20,202.74,69,40,30,2,9.72,30,33.62,4.85,517,503.07,10/1/2022 0:00,10/13/2022 0:00,10/2/2022 0:00,Early,39.84,6.28,0,0,0.00,No Risk,40,20,0.50
SKU1,670,2,2,2,1,27,273.7,54,12,30,2,9.72,30,33.62,4.85,517,503.07,11/1/2022 0:00,11/13/2022 0:00,11/2/2022 0:00,Early,39.84,4.39,0,0,0.00,No Risk,12,27,-0.25
SKU1,700,2,2,2,1,18,182.47,109,76,30,2,9.72,30,33.62,4.85,517,503.07,12/1/2022 0:00,12/13/2022 0:00,12/2/2022 0:00,Early,39.84,6.17,0,0,0.00,No Risk,76,18,0.24
SKU1,731,2,2,2,1,26,263.56,148,99,30,2,9.72,30,33.62,4.85,517,503.07,1/1/2023 0:00,1/13/2023 0:00,1/2/2023 0:00,Early,39.84,4.29,0,0,0.00,No Risk,99,26,0.26
SKU1,762,2,2,2,1,22,223.02,149,59,30,2,9.72,30,33.62,4.85,517,503.07,2/1/2023 0:00,2/13/2023 0:00,2/2/2023 0:00,Early,39.84,12.12,0,0,0.00,No Risk,59,22,0.37
SKU1,790,2,2,2,1,21,212.88,8,26,30,2,9.72,30,33.62,4.85,517,503.07,3/1/2023 0:00,3/13/2023 0:00,3/2/2023 0:00,Early,39.84,7.64,18,1,69.23,High,26,21,0.81
SKU1,821,2,2,2,1,13,131.78,128,69,30,2,9.72,30,33.62,4.85,517,503.07,4/1/2023 0:00,4/13/2023 0:00,4/2/2023 0:00,Early,39.84,4.18,0,0,0.00,No Risk,69,13,0.19
SKU1,851,2,2,2,1,21,212.88,107,83,30,2,9.72,30,33.62,4.85,517,503.07,5/1/2023 0:00,5/13/2023 0:00,5/2/2023 0:00,Early,39.84,31.95,0,0,0.00,No Risk,83,21,0.25
SKU1,882,2,2,2,1,22,223.02,132,75,30,2,9.72,30,33.62,4.85,517,503.07,6/1/2023 0:00,6/13/2023 0:00,6/2/2023 0:00,Early,39.84,4.82,0,0,0.00,No Risk,75,22,0.29
SKU1,912,2,2,2,1,23,233.15,149,97,30,2,9.72,30,33.62,4.85,517,503.07,7/1/2023 0:00,7/13/2023 0:00,7/2/2023 0:00,Early,39.84,3.7,0,0,0.00,No Risk,97,23,0.24
SKU1,943,2,2,2,1,18,182.47,67,84,30,2,9.72,30,33.62,4.85,517,503.07,8/1/2023 0:00,8/13/2023 0:00,8/2/2023 0:00,Early,39.84,7.81,17,1,20.24,Low,84,18,0.21
SKU1,974,2,2,2,1,22,223.02,65,33,30,2,9.72,30,33.62,4.85,517,503.07,9/1/2023 0:00,9/13/2023 0:00,9/2/2023 0:00,Early,39.84,25.11,0,0,0.00,No Risk,33,22,0.67
SKU1,1004,2,2,2,1,22,223.02,143,96,30,2,9.72,30,33.62,4.85,517,503.07,10/1/2023 0:00,10/13/2023 0:00,10/2/2023 0:00,Early,39.84,4.82,0,0,0.00,No Risk,96,22,0.23
SKU1,1035,2,2,2,1,13,131.78,52,41,30,2,9.72,30,33.62,4.85,517,503.07,11/1/2023 0:00,11/13/2023 0:00,11/2/2023 0:00,Early,39.84,21.97,0,0,0.00,No Risk,41,13,0.32
SKU1,1065,2,2,2,1,17,172.33,127,96,30,2,9.72,30,33.62,4.85,517,503.07,12/1/2023 0:00,12/13/2023 0:00,12/2/2023 0:00,Early,39.84,4.45,0,0,0.00,No Risk,96,17,0.18
SKU1,1096,2,2,2,1,27,273.7,64,28,30,2,9.72,30,33.62,4.85,517,503.07,1/1/2024 0:00,1/13/2024 0:00,1/2/2024 0:00,Early,39.84,11.34,0,0,0.00,No Risk,28,27,0.96
SKU1,1127,2,2,2,1,24,243.29,63,75,30,2,9.72,30,33.62,4.85,517,503.07,2/1/2024 0:00,2/13/2024 0:00,2/2/2024 0:00,Early,39.84,4.24,12,1,16.00,Low,75,24,0.32
SKU1,1156,2,2,2,1,21,212.88,67,69,30,2,9.72,30,33.62,4.85,517,503.07,3/1/2024 0:00,3/13/2024 0:00,3/2/2024 0:00,Early,39.84,6.39,2,1,2.90,Low,69,21,0.30
SKU1,1187,2,2,2,1,15,152.06,61,75,30,2,9.72,30,33.62,4.85,517,503.07,4/1/2024 0:00,4/13/2024 0:00,4/2/2024 0:00,Early,39.84,7.17,14,1,18.67,Low,75,15,0.20
SKU1,1217,2,2,2,1,17,172.33,80,24,30,2,9.72,30,33.62,4.85,517,503.07,5/1/2024 0:00,5/13/2024 0:00,5/2/2024 0:00,Early,39.84,5.02,0,0,0.00,No Risk,24,17,0.71
SKU1,1248,2,2,2,1,22,223.02,70,94,30,2,9.72,30,33.62,4.85,517,503.07,6/1/2024 0:00,6/13/2024 0:00,6/2/2024 0:00,Early,39.84,6.39,24,1,25.53,Medium,94,22,0.23
SKU1,1278,2,2,2,1,27,273.7,113,44,30,2,9.72,30,33.62,4.85,517,503.07,7/1/2024 0:00,7/13/2024 0:00,7/2/2024 0:00,Early,39.84,3.78,0,0,0.00,No Risk,44,27,0.61
SKU1,1309,2,2,2,1,17,172.33,51,78,30,2,9.72,30,33.62,4.85,517,503.07,8/1/2024 0:00,8/13/2024 0:00,8/2/2024 0:00,Early,39.84,9.5,27,1,34.62,Medium,78,17,0.22
SKU1,1340,2,2,2,1,25,253.43,115,36,30,2,9.72,30,33.62,4.85,517,503.07,9/1/2024 0:00,9/13/2024 0:00,9/2/2024 0:00,Early,39.84,3.66,0,0,0.00,No Risk,36,25,0.69
SKU1,1370,2,2,2,1,15,152.06,124,97,30,2,9.72,30,33.62,4.85,517,503.07,10/1/2024 0:00,10/13/2024 0:00,10/2/2024 0:00,Early,39.84,7.99,0,0,0.00,No Risk,97,15,0.15
SKU1,1401,2,2,2,1,29,293.98,126,16,30,2,9.72,30,33.62,4.85,517,503.07,11/1/2024 0:00,11/13/2024 0:00,11/2/2024 0:00,Early,39.84,35.15,0,0,0.00,No Risk,16,29,0.19
SKU1,1431,2,2,2,1,21,212.88,64,15,30,2,9.72,30,33.62,4.85,517,503.07,12/1/2024 0:00,12/13/2024 0:00,12/2/2024 0:00,Early,39.84,9.25,0,0,0.00,No Risk,15,21,0.60
SKU1,1462,2,2,2,1,14,141.92,129,42,30,2,9.72,30,33.62,4.85,517,503.07,1/1/2025 0:00,1/13/2025 0:00,1/2/2025 0:00,Early,39.84,19.53,0,0,0.00,No Risk,42,14,0.33
SKU1,1493,2,2,2,1,26,263.56,21,67,30,2,9.72,30,33.62,4.85,517,503.07,2/1/2025 0:00,2/13/2025 0:00,2/2/2025 0:00,Early,39.84,19.53,46,1,68.66,High,67,26,0.39
SKU1,1521,2,2,2,1,23,233.15,75,58,30,2,9.72,30,33.62,4.85,517,503.07,3/1/2025 0:00,3/13/2025 0:00,3/2/2025 0:00,Early,39.84,11.34,0,0,0.00,No Risk,58,23,0.40
SKU2,1,3,3,3,1,18,21549.94,93,26,10,2,8.05,27,30.69,4.58,971,141.92,1/1/2021 0:00,1/24/2021 0:00,1/2/2021 0:00,Early,5.07,22.13,0,0,0.00,No Risk,26,18,0.69
SKU2,32,3,3,3,1,20,23944.37,70,51,10,2,8.05,27,30.69,4.58,971,141.92,1/1/2021 0:00,1/12/2021 0:00,1/2/2021 0:00,Early,6.35,3.17,0,0,0.00,No Risk,51,20,0.39
SKU2,60,3,3,3,1,24,28733.25,105,81,10,2,8.05,27,30.69,4.58,971,141.92,2/1/2021 0:00,2/24/2021 0:00,2/2/2021 0:00,Early,5.07,11.58,0,0,0.00,No Risk,81,24,0.30
SKU2,91,3,3,3,1,23,27536.03,49,49,10,2,8.05,27,30.69,4.58,971,141.92,2/1/2021 0:00,2/12/2021 0:00,2/2/2021 0:00,Early,6.35,3.42,0,0,0.00,No Risk,49,23,0.47
SKU2,121,3,3,3,1,26,31127.69,101,55,10,2,8.05,27,30.69,4.58,971,141.92,3/1/2021 0:00,3/24/2021 0:00,3/2/2021 0:00,Early,5.07,14.86,0,0,0.00,No Risk,55,26,0.47
SKU2,152,3,3,3,1,18,21549.94,112,80,10,2,8.05,27,30.69,4.58,971,141.92,3/1/2021 0:00,3/12/2021 0:00,3/2/2021 0:00,Early,6.35,7.45,0,0,0.00,No Risk,80,18,0.23
SKU2,182,3,3,3,1,21,25141.59,29,79,10,2,8.05,27,30.69,4.58,971,141.92,4/1/2021 0:00,4/24/2021 0:00,4/2/2021 0:00,Early,5.07,24.29,50,1,63.29,High,79,21,0.27
SKU2,213,3,3,3,1,19,22747.16,11,77,10,2,8.05,27,30.69,4.58,971,141.92,4/1/2021 0:00,4/12/2021 0:00,4/2/2021 0:00,Early,6.35,3.33,66,1,85.71,Critical,77,19,0.25
SKU2,244,3,3,3,1,17,20352.72,81,10,10,2,8.05,27,30.69,4.58,971,141.92,5/1/2021 0:00,5/24/2021 0:00,5/2/2021 0:00,Early,5.07,55.33,0,0,0.00,No Risk,10,17,0.30
SKU2,274,3,3,3,1,7,8380.53,45,88,10,2,8.05,27,30.69,4.58,971,141.92,5/1/2021 0:00,5/12/2021 0:00,5/2/2021 0:00,Early,6.35,4.22,43,1,48.86,Medium,88,7,0.08
SKU2,305,3,3,3,1,25,29930.47,129,98,10,2,8.05,27,30.69,4.58,971,141.92,6/1/2021 0:00,6/24/2021 0:00,6/2/2021 0:00,Early,5.07,11.19,0,0,0.00,No Risk,98,25,0.26
SKU2,335,3,3,3,1,14,16761.06,96,61,10,2,8.05,27,30.69,4.58,971,141.92,6/1/2021 0:00,6/12/2021 0:00,6/2/2021 0:00,Early,6.35,1.41,0,0,0.00,No Risk,61,14,0.23
SKU2,366,3,3,3,1,24,28733.25,79,44,10,2,8.05,27,30.69,4.58,971,141.92,7/1/2021 0:00,7/24/2021 0:00,7/2/2021 0:00,Early,5.07,13.1,0,0,0.00,No Risk,44,24,0.55
SKU2,397,3,3,3,1,22,26338.81,53,78,10,2,8.05,27,30.69,4.58,971,141.92,7/1/2021 0:00,7/12/2021 0:00,7/2/2021 0:00,Early,6.35,1.31,25,1,32.05,Medium,78,22,0.28
SKU2,425,3,3,3,1,20,23944.37,34,14,10,2,8.05,27,30.69,4.58,971,141.92,8/1/2021 0:00,8/24/2021 0:00,8/2/2021 0:00,Early,5.07,34.34,0,0,0.00,No Risk,14,20,0.57
SKU2,456,3,3,3,1,20,23944.37,51,26,10,2,8.05,27,30.69,4.58,971,141.92,8/1/2021 0:00,8/12/2021 0:00,8/2/2021 0:00,Early,6.35,1.89,0,0,0.00,No Risk,26,20,0.77
